date,day,ranked,normal,aram,remake,total,week,wkend
25,Sunday,7,0,0,0,7,4,1
24,Saturday,2,0,7,0,9,4,1
23,Friday,2,0,2,0,4,4,0
22,Thursday,7,0,0,0,7,4,0
21,Wednesday,5,0,0,0,5,4,0
20,Tuesday,2,0,0,0,2,4,0
19,Monday,3,0,2,0,5,4,0
18,Sunday,5,0,0,1,6,3,1
17,Saturday,0,0,3,0,3,3,1
16,Friday,0,0,0,0,0,3,0
15,Thursday,1,0,2,0,3,3,0
14,Wednesday,0,0,0,0,0,3,0
13,Tuesday,3,0,0,0,3,3,0
12,Monday,9,0,0,0,9,3,0
11,Sunday,14,0,0,0,14,2,1
10,Saturday,6,0,1,0,7,2,1
9,Friday,1,4,7,0,12,2,0
8,Thursday,8,0,0,0,8,2,0
7,Wednesday,6,0,0,0,6,2,0
6,Tuesday,8,0,0,0,8,2,0
5,Monday,4,0,0,0,4,2,0
4,Sunday,7,4,0,0,11,1,1
3,Saturday,0,0,0,0,0,1,1
2,Friday,13,0,0,0,13,1,0
1,Thursday,6,0,0,0,6,1,0
